date,spx_close,hlth_close,cons_close,cond_close,enrs_close,finl_close,indu_close,inft_close,matr_close,rlst_close,tels_close,util_close,daily_new_cases,daily_new_deaths
2021-02-24,3925.43,1335.2,667.68,1335.268,376.2,556.51,787.82,2363.22,478.86,240.38,238.11,303.92,,
2021-02-25,3829.34,1321.95,660.18,1287.057,368.66,546.42,772.43,2279.76,467.4,236.56,232.01,300.95,,
2021-02-26,3811.15,1311.27,649.39,1294.468,360.19,535.64,764.55,2293.4,461.11,232.26,232.08,295.35,,
2021-03-01,3901.82,1327.31,655.71,1322.612,369.47,552.37,783.76,2366.28,472.82,232.62,237.54,301.74,,
2021-03-02,3870.29,1324.03,654.56,1305.769,367.31,550.72,781.68,2327.66,475.55,230.96,235.89,300.91,,
2021-03-03,3819.72,1306.46,650.97,1274.677,372.55,554.87,782.25,2269.8,470.58,228.26,232.14,297.37,,
2021-03-04,3768.47,1289.06,647.5,1248.922,381.76,548.17,769.69,2218.58,460.88,226.5,232.22,296.87,,
2021-03-05,3841.94,1315.14,661.44,1257.91,396.54,558.63,788.1,2262.26,471.73,229.11,237.73,301.59,,
2021-03-08,3821.35,1311.39,663.55,1255.552,397.13,565.84,796.38,2206.54,477.82,230.32,234.25,305.77,,
2021-03-09,3875.44,1319.47,663.54,1303.319,389.54,561,793.3,2281.79,480.94,232.77,236.41,309.66,,
2021-03-10,3898.81,1322.33,672.08,1308.342,399.8,571.75,804.77,2272.6,488.82,235.07,237.4,311.75,,
2021-03-11,3939.34,1330.59,670.87,1328.749,400.11,570.15,805.43,2320.84,491.51,238.6,241.59,310.93,,
2021-03-12,3943.34,1332.42,675.66,1330.131,400.82,576.35,816.2,2304.26,492.42,242.19,239.41,314.9,,
2021-03-15,3968.94,1341.12,678.64,1345.758,395.81,573.09,822.9,2329.81,493.2,245.04,240.79,319.17,,
2021-03-16,3962.71,1340.61,679.09,1334.07,384.62,566.63,811.09,2348.18,488.89,244.99,243.04,319.49,,
